original name,translated name,count,type,life,range,missed,bang,heal,draw,discard,target any,target others,target distance,target self,special,unlimited bang
Sceriffo,Šerif,1,role,,,,,,,,,,,,,
Fuorilegge,Bandita,3,role,,,,,,,,,,,,,
Vice,Pomocník,2,role,,,,,,,,,,,,,
Rinnegato,Odpadlík,1,role,,,,,,,,,,,,,
Bart Cassidy,,1,character,4,,,,,,,,,,,,
Black Jack,,1,character,4,,,,,,,,,,,,
Calamity Janet,,1,character,4,,,,,,,,,,,,
El Gringo,,1,character,3,,,,,,,,,,,,
Jesse Jones,,1,character,4,,,,,,,,,,,,
Jourdonnais,,1,character,4,,,,,,,,,,,,
Kit Carlson,,1,character,3,,,,,,,,,,,,
Lucky Duke,,1,character,4,,,,,,,,,,,,
Paul Regret,,1,character,3,,,,,,,,,,,,
Pedro Ramirez,,1,character,4,,,,,,,,,,,,
Rose Doolan,,1,character,4,,,,,,,,,,,,
Sid Ketchum,,1,character,4,,,,,,,,,,,,
Slab the Killer,,1,character,4,,,,,,,,,,,,
Suzy Lafayette,,1,character,4,,,,,,,,,,,,
Vulture Sam,,1,character,4,,,,,,,,,,,,
Willy The Kid,,1,character,4,,,,,,,,,,,,
Bang!,,25,instant,,,,1,,,,,,1,,,
Mancato!,Vedle,12,instant,,,1,,,,,,,,,,
Birra,Pivo,6,instant,,,,,1,,,,,,1,,
Saloon,Salón,1,instant,,,,,1,,,,1,,1,,
Wells Fargo,,1,instant,,,,,,3,,,,,,,
Diligenza,Dostavník,2,instant,,,,,,2,,,,,,,
Emporio,Hokynářství,2,instant,,,,,,,,,,,,1,
Panico!,Panika,4,instant,,1,,,,1,,,,1,,,
Cat Balou,,4,instant,,,,,,,1,1,,,,,
Indiani!,Indiáni,2,instant,,,,,,,,,,,,1,
Duello,Duel,3,instant,,,,,,,,,,,,1,
Gatling,Kulomet,1,instant,,,,1,,,,,1,,,,
Mustang,,2,permanent,,1,,,,,,,,,,,
Appalossa,,1,permanent,,-1,,,,,,,,,,,
Barile,Barel,2,permanent,,,,,,,,,,,,1,
Dinamite,Dynamit,1,permanent,,,,,,,,,,,,1,
Prigione,Vězení,3,permanent,,,,,,,,,,,,1,
Volcanic,,2,gun,,1,,,,,,,,,,,1
Schofield,,3,gun,,2,,,,,,,,,,,
Remington,,1,gun,,3,,,,,,,,,,,
Rev. Carabine,Carabina,1,gun,,4,,,,,,,,,,,
Winchester,,1,gun,,5,,,,,,,,,,,
